1,0.206192028,0.622703865,0.622703865,0.729212953,0.058302794,0.128396573,0.022607497,0.622703865,0.622703865,0.622703865,0.622703865,0.53175153,0.53175153,0.622703865,0.003399216,0.079953042,0.387760103,0.622703865,0.622703865,0.53175153,1.58E-05,0.150357898,0.109642927,0.622703865,0.622703865,0.28275969,0.53175153,0.622703865,0.454083724,0.28275969,0.28275969,0.622703865,0.622703865,0.331123733,0.454083724,0.622703865,0.622703865,0.53175153,0.454083724,0.241459715,0.058302794,0.622703865,0.622703865,0.622703865,0.176075552,0.176075552,0.622703865
0.206192028,1,0.241459715,0.241459715,0.28275969,0.337349398,0.126126126,0.168674699,0.241459715,0.241459715,0.241459715,0.241459715,0.113913751,0.206192028,0.191780822,0.118644068,0.0310026,0.150357898,0.241459715,0.241459715,0.206192028,0.144329897,0.288659794,0.237288136,0.241459715,0.241459715,0.109642927,0.206192028,0.725806452,0.168674699,0.109642927,0.155555556,0.241459715,0.288659794,0.128396573,0.176075552,0.241459715,0.241459715,0.206192028,0.280561122,0.093628444,0.022607497,0.241459715,0.241459715,0.131086142,0.068275074,0.068275074,0.241459715
0.622703865,0.241459715,1,0.729212953,0.853939666,0.068275074,0.150357898,0.02647435,0.729212953,0.729212953,0.729212953,0.729212953,0.622703865,0.622703865,0.729212953,0.0054588,0.093628444,0.454083724,0.729212953,0.729212953,0.622703865,2.54E-05,0.176075552,0.128396573,0.729212953,0.729212953,0.331123733,0.622703865,0.729212953,0.53175153,0.331123733,0.331123733,0.729212953,0.729212953,0.318181818,0.318449874,0.729212953,0.729212953,0.622703865,0.53175153,0.28275969,0.068275074,0.729212953,0.729212953,0.729212953,0.206192028,0.206192028,0.729212953
0.622703865,0.241459715,0.729212953,1,0.853939666,0.068275074,0.150357898,0.02647435,0.729212953,0.729212953,0.354166667,0.729212953,0.622703865,0.622703865,0.729212953,0.003980628,0.577319588,0.454083724,0.729212953,0.729212953,0.622703865,1.86E-05,0.176075552,0.128396573,0.729212953,0.451612903,0.331123733,0.622703865,0.729212953,0.53175153,0.331123733,0.331123733,0.729212953,0.729212953,0.355932203,0.53175153,0.368421053,0.729212953,0.622703865,0.53175153,0.28275969,0.068275074,0.729212953,0.729212953,0.729212953,0.206192028,0.206192028,0.729212953
0.729212953,0.28275969,0.853939666,0.853939666,1,0.079953042,0.176075552,0.0310026,0.853939666,0.853939666,0.853939666,0.853939666,0.729212953,0.729212953,0.853939666,0.004661486,0.109642927,0.53175153,0.853939666,0.853939666,0.729212953,2.17E-05,0.206192028,0.150357898,0.853939666,0.853939666,0.387760103,0.729212953,0.853939666,0.622703865,0.387760103,0.387760103,0.853939666,0.853939666,0.454083724,0.622703865,0.853939666,0.853939666,0.729212953,0.622703865,0.331123733,0.079953042,0.853939666,0.853939666,0.853939666,0.241459715,0.241459715,0.853939666
0.058302794,0.337349398,0.068275074,0.068275074,0.079953042,1,0.118644068,0.155555556,0.068275074,0.068275074,0.068275074,0.068275074,0.107775212,0.058302794,0.366013072,0.112,0.008766286,0.079953042,0.068275074,0.068275074,0.058302794,0.134615385,0.403846154,0.448,0.068275074,0.068275074,0.0310026,0.058302794,0.405797101,0.155555556,0.0310026,0.144329897,0.068275074,0.269230769,0.036305375,0.049787068,0.068275074,0.068275074,0.058302794,0.262172285,0.02647435,0.006392489,0.068275074,0.068275074,0.123022847,0.019305439,0.019305439,0.068275074
0.128396573,0.126126126,0.150357898,0.150357898,0.176075552,0.118644068,1,0.237288136,0.150357898,0.150357898,0.150357898,0.150357898,0.518682711,0.128396573,0.61878453,0.183006536,0.019305439,0.093628444,0.150357898,0.150357898,0.128396573,0.212121212,0.106060606,0.183006536,0.150357898,0.150357898,0.068275074,0.128396573,0.144329897,0.237288136,0.068275074,0.224,0.150357898,0.106060606,0.079953042,0.109642927,0.150357898,0.150357898,0.128396573,0.103857567,0.058302794,0.014077776,0.150357898,0.150357898,0.562764457,0.042515153,0.042515153,0.150357898
0.022607497,0.168674699,0.02647435,0.02647435,0.0310026,0.155555556,0.237288136,1,0.036305375,0.036305375,0.02647435,0.02647435,0.215550423,0.022607497,0.183006536,0.224,0.003399216,0.01648568,0.02647435,0.02647435,0.022607497,0.269230769,0.134615385,0.224,0.02647435,0.02647435,0.012021571,0.022607497,0.202898551,0.311111111,0.012021571,0.288659794,0.02647435,0.134615385,0.014077776,0.019305439,0.02647435,0.02647435,0.128232759,0.242509363,0.010265697,0.002478752,0.02647435,0.02647435,0.246045694,0.007485879,0.126126126,0.02647435
0.622703865,0.241459715,0.729212953,0.729212953,0.853939666,0.068275074,0.150357898,0.036305375,1,1,0.729212953,0.729212953,0.622703865,0.622703865,0.729212953,0.003980628,0.093628444,0.454083724,0.729212953,0.729212953,0.622703865,1.86E-05,0.176075552,0.128396573,0.729212953,0.729212953,0.331123733,0.622703865,0.729212953,0.53175153,0.331123733,0.331123733,0.729212953,1,0.387760103,0.53175153,0.729212953,0.729212953,0.622703865,0.53175153,0.28275969,0.068275074,0.729212953,0.729212953,0.729212953,0.206192028,0.206192028,0.729212953
0.622703865,0.241459715,0.729212953,0.729212953,0.853939666,0.068275074,0.150357898,0.036305375,1,1,0.729212953,0.729212953,0.622703865,0.622703865,0.729212953,0.003980628,0.093628444,0.454083724,0.729212953,0.729212953,0.622703865,1.86E-05,0.176075552,0.128396573,0.729212953,0.729212953,0.331123733,0.622703865,0.729212953,0.53175153,0.331123733,0.331123733,0.729212953,1,0.387760103,0.53175153,0.729212953,0.729212953,0.622703865,0.53175153,0.28275969,0.068275074,0.729212953,0.729212953,0.729212953,0.206192028,0.206192028,0.729212953
